old_name,new_id
Ravenswood Ave & Irving Park Rd,244
Ravenswood Ave & Lawrence Ave,344
Rhodes Ave & 32nd St,263
Richmond St & Diversey Ave,501
Ridge Blvd & Touhy Ave,466
Ritchie Ct & Banks St,180
Rockwell St & Eastwood Ave,478
Rush St & Cedar St,172
Rush St & Hubbard St,125
Rush St & Superior St,161
S Aberdeen St & W 106th St,1448642162257565290
S Michigan Ave & E 118th St,1448642175142467180
S Wentworth Ave & W 111th St,1448642162257565286
Sacramento Blvd & Franklin Blvd,375
Sangamon St & Washington Blvd,233
Sawyer Ave & Irving Park Rd,485
Sedgwick St & Huron St,111
Sedgwick St & North Ave,118
Sedgwick St & Schiller St,236
Sedgwick St & Webster Ave,143
Seeley Ave & Roscoe St,308
Shedd Aquarium,3
Sheffield Ave & Fullerton Ave,67
Sheffield Ave & Kingsbury St,20
Sheffield Ave & Waveland Ave,114
Sheffield Ave & Webster Ave,327
Sheffield Ave & Wellington Ave,115
Sheffield Ave & Willow St,93
Sheffield Ave & Wrightwood Ave,302
Sheridan Rd & Buena Ave,306
Sheridan Rd & Greenleaf Ave,354
Sheridan Rd & Irving Park Rd,240
Sheridan Rd & Lawrence Ave,323
Sheridan Rd & Loyola Ave,451
Sheridan Rd & Montrose Ave,231
Shields Ave & 28th Pl,401
Shields Ave & 31st St,402
Shields Ave & 43rd St,409
Shore Dr & 55th St,247
South Shore Dr & 67th St,355
South Shore Dr & 71st St,12
South Shore Dr & 74th St,399
Southport Ave & Belmont Ave,154
Southport Ave & Clark St,292
Southport Ave & Clybourn Ave,307
Southport Ave & Irving Park Rd,318
Southport Ave & Roscoe St,229
Southport Ave & Waveland Ave,227
Southport Ave & Wellington Ave,153
Southport Ave & Wrightwood Ave,190
Spaulding Ave & 16th St,1561012895895892552
Spaulding Ave & Armitage Ave,506
Spaulding Ave & Division St,510
St. Clair St & Erie St,211
St. Louis Ave & Balmoral Ave,469
St. Louis Ave & Fullerton Ave,503
State St & 123rd St,714
State St & 19th St,178
State St & 29th St,193
State St & 33rd St,148
State St & 35th St,184
State St & 95th St,690
State St & Chicago Ave,753
State St & Harrison St,5
State St & Kinzie St,47
State St & Pearson St,106
State St & Pershing Rd,407
State St & Randolph St,44
State St & Van Buren St,33
Stave St & Armitage Ave,185
Stetson Ave & South Water St,264
Stewart Ave & 83rd St,677
Stockton Dr & Wrightwood Ave,324
Stony Island Ave & 64th St,95
Stony Island Ave & 67th St,102
Stony Island Ave & 71st St,356
Stony Island Ave & 75th St,270
Stony Island Ave & 90th St,705
Streeter Dr & Grand Ave,35
Summit Ave & 86th St,685
Talman Ave & Addison St,491
Theater on the Lake,177
Throop St & Taylor St,19
Throop/Hastings Mobile Station,
Torrence Ave & 106th St,707
Torrence Ave & 126th Pl,720
Tripp Ave & 15th St,1561012887305957952
Tripp Ave & 31st St,1561012900190859852
Troy St & Elston Ave,490
Troy St & North Ave,509
Union Ave & Root St,408
University Ave & 57th St,423
Vernon Ave & 107th St,699
Vincennes Ave & 104th St,726
Vincennes Ave & 75th St,568
W 103rd St & S Avers Ave,1448642179437434482
W Armitage Ave & N Sheffield Ave,1436495105198659242
W Oakdale Ave & N Broadway,1436495100903691938
W Washington Blvd & N Peoria St,1436495109493626544
Wabash Ave & 16th St,72
Wabash Ave & 9th St,321
Wabash Ave & Adams St,39
Wabash Ave & Cermak Rd,42
Wabash Ave & Grand Ave,199
Wabash Ave & Roosevelt Rd,59
Wabash Ave & Wacker Pl,194
Wacker Dr & Washington St,18
Walden Pkwy & 100th St,721
Wallace St & 35th St,278
Walsh Park,628
Warren Park East,448
Warren Park West,450
Washtenaw Ave & Lawrence Ave,475
Washtenaw Ave & Ogden Ave,437
Wells St & 19th St,218
Wells St & Concord Ln,289
Wells St & Elm St,182
Wells St & Evergreen Ave,291
Wells St & Hubbard St,212
Wells St & Huron St,53
Wells St & Polk St,175
Wells St & Walton St,46
Wentworth Ave & 104th St,712
Wentworth Ave & 24th St (Temp),132
Wentworth Ave & 33rd St,403
Wentworth Ave & 35th St,405
Wentworth Ave & 63rd St,390
Wentworth Ave & Cermak Rd,120
WEST CHI-WATSON,676
Western & 28th - Velasquez Institute Vaccination Site,446
Western Ave & 104th St,735
Western Ave & 111th St,728
Western Ave & 21st St,203
Western Ave & 24th St,281
Western Ave & 28th St,446
Western Ave & Congress Pkwy,382
Western Ave & Division St,305
Western Ave & Granville Ave,452
Western Ave & Leland Ave,239
Western Ave & Lunt Ave,467
Western Ave & Monroe St,381
Western Ave & Roscoe St,493
Western Ave & Walton St,374
Western Ave & Winnebago Ave,116
Whipple St & Irving Park Rd,1606778059648526978
Wilton Ave & Belmont Ave,117
Wilton Ave & Diversey Pkwy,13
Winchester (Ravenswood) Ave & Balmoral Ave,462
Winchester Ave & Elston Ave,505
Winthrop Ave & Lawrence Ave,253
Wolcott (Ravenswood) Ave & Montrose Ave,238
Wolcott Ave & Polk St,342
Wood St & 35th St,369
Wood St & Hubbard St,285
Wood St & Milwaukee Ave,61
Wood St & Taylor St (Temp),317
Woodlawn & 103rd - Olive Harvey Vaccination Site,1448642183732401786
Woodlawn Ave & 55th St,248
Woodlawn Ave & Lake Park Ave,413
Yates Blvd & 75th St,396
Yates Blvd & 93rd St,741
Michigan Ave & 71st St,651
Lakefront Trail & Bryn Mawr Ave,459
Marshfield Ave & Cortland St,58
DuSable Lake Shore Dr & Ohio St,
Lake Shore Dr & Ohio St,
